algorithm,model,round,rmse,mae,r2
FedProx,MLP,11,0.4116823819201336,0.3584190024380524,-135683.75240351236
FedProx,MLP,12,0.4106254448890166,0.3582629181955317,-132933.57118974294
FedProx,MLP,13,0.409347153455253,0.3578296756807236,-130068.1562945361
FedProx,MLP,14,0.408068870062021,0.3573232558678659,-127698.61782195487
FedProx,MLP,15,0.4066602751200314,0.3566823064076251,-125316.97380081506
FedProx,MLP,16,0.4052065510942537,0.3559672405619193,-122905.19798032596
FedProx,MLP,17,0.4037640462025059,0.3552186875906896,-120541.22047166874
FedProx,MLP,18,0.4023291185279852,0.3544293642567834,-118195.79874132723
FedProx,MLP,19,0.4008418244753431,0.3535790991935034,-115783.9759492036
FedProx,MLP,20,0.3993447866635052,0.3527082846432872,-113341.40655491264
FedProx,MLP,21,0.3977860964779495,0.3517742549545526,-110967.18870877632
FedProx,MLP,22,0.3961514783050662,0.3507708565631524,-108411.97148817328
FedProx,MLP,23,0.3945437958535258,0.3497626414826968,-106079.19850523904
FedProx,MLP,24,0.392770723433841,0.3485790705324685,-103658.5903352476
FedProx,MLP,25,0.3911117351179412,0.3474510355291132,-101432.0925291167
FedProx,Residual,1,0.5473896936318612,0.4192474986473998,-435831.6828790742
FedProx,Residual,2,0.4725815131856884,0.3526019606418475,-486687.7164768393
FedProx,Residual,3,0.4383116186229773,0.3339619201285558,-392918.664637626
FedProx,Residual,4,0.4213932966510638,0.3271999087819734,-327961.4060704293
FedProx,Residual,5,0.4084008264350571,0.3226869685316756,-287269.48955368955
FedProx,Residual,6,0.3993522493108647,0.3206423011416919,-252047.2429822409
FedProx,Residual,7,0.3922039742637918,0.3190502327963422,-226869.78881612016
FedProx,Residual,8,0.3875237889971147,0.3186718837238573,-208189.13641100985
FedProx,Residual,9,0.3837548939522874,0.3185500471160365,-194290.1821721124
FedProx,Residual,10,0.3811873406424388,0.3190538398201311,-183682.21962810692
FedProx,Residual,11,0.3790808408513114,0.3194604420180061,-175790.13681474177
FedProx,Residual,12,0.377728766664747,0.3201456711560435,-169546.09396420632
FedProx,Residual,13,0.3767515578054372,0.3207864325709628,-165088.81408025845
FedProx,Residual,14,0.3760619512479097,0.3214380520744567,-161237.34667745835
FedProx,Residual,15,0.3754739200707676,0.3219962394902702,-158062.81181689264
FedProx,Residual,16,0.3751391029788142,0.3226429632683211,-155423.4144832279
